YEAR;BOX;BOX_OR;RING;BROOD_SIZE;OH;SEX;MASS_14;R_TARS_14;BRIGHTNESS;UV_CHROMA;H_THETA;H_PHI;R_ACHIEVED
2011;RO20;RO20;1ER02065;12;51;M;11.6;16.5;12848.186;0.199;0.633;-0.656;0.196
2011;RO20;RO20;1ER02058;12;51;M;11.2;16.5;13257.752;0.21;0.521;-0.532;0.181
2011;RO20;RO20;1ER02063;12;51;F;11.8;17;15105.39;0.208;0.49;-0.451;0.252
2011;RO20;RO20;1ER02064;12;51;M;10.6;16.3;22599.461;0.217;0.498;-0.401;0.247
2011;RO20;BO2-;1ER02057;12;51;F;12.2;17;10962.004;0.208;0.574;-0.503;0.207
2011;RO20;BO2-;1ER02059;12;51;M;11.9;17.1;13386.893;0.209;0.525;-0.478;0.212
2011;RO20;BO2-;1ER02056;12;51;F;11.9;16.8;10637.698;0.192;0.707;-0.628;0.208
2011;RO20;BO2-;1ER02062;12;51;M;12.7;17.5;7889.117;0.201;0.719;-0.611;0.174
2011;RO5C;RO5C;1ER02706;8;49;NA;NA;NA;11106.643;0.198;0.521;-0.482;0.279
2011;RO5C;RO5C;1ER02707;8;49;NA;NA;NA;8289.544;0.199;0.695;-0.573;0.203
2011;RO5C;RW30;1ER02708;8;49;NA;NA;NA;8110.131;0.175;0.759;-0.691;0.266
2011;RO5C;RW30;1ER02702;8;49;NA;NA;NA;13027.478;0.191;0.599;-0.547;0.263
2011;RO5C;RW30;1ER02701;8;49;NA;NA;NA;8850.485;0.191;0.659;-0.647;0.225
2011;RO8D;RO8D;1ER02578;11;54;F;11.5;16.2;15011.287;0.215;0.502;-0.359;0.259
2011;RO8D;RO8D;1ER03148;11;54;M;12.7;17.6;11504.017;0.205;0.487;-0.397;0.324
2011;RO8D;RO8D;1ER02577;11;54;M;13.6;17.9;10199.091;0.197;0.538;-0.473;0.304
2011;RO8D;RO8D;1ER03149;11;54;M;12.4;17.8;18217.333;0.229;0.537;-0.237;0.27
2011;RO8D;RO8D;1ER02581;11;54;F;12.3;16.7;10661.661;0.206;0.715;-0.496;0.215
2011;RO8D;RO8D;1ER02580;11;54;F;12.6;17.4;12944.258;0.206;0.537;-0.473;0.231
2011;RO8D;FA48;1ER02574;11;54;M;11.5;17.2;11209.681;0.195;0.47;-0.48;0.304
2011;RO8D;FA48;1ER02575;11;54;F;12.2;16.7;11934.816;0.203;0.676;-0.559;0.189
2011;RO8D;FA48;1ER02579;11;54;M;11.9;17.7;10052.821;0.202;0.673;-0.571;0.203
2011;RO8D;FA48;1ER02576;11;54;M;11.9;15.8;14998.561;0.207;0.475;-0.403;0.293
2011;RO8D;FA48;1ER02582;11;54;NA;11.3;16.3;12031.54;0.216;0.667;-0.462;0.204
2011;RW20C;RW20C;1ER02686;15;54;NA;NA;NA;11530.786;0.21;0.483;-0.49;0.207
2011;RW20C;RW20C;1ER02687;15;54;NA;NA;NA;12531.603;0.222;0.648;-0.404;0.214
2011;RW20C;RW20C;1ER02675;15;54;NA;NA;NA;14479.516;0.204;0.439;-0.461;0.264
2011;RW20C;RW20C;1ER02679;15;54;NA;NA;NA;16460.775;0.224;0.526;-0.346;0.219
2011;RW20C;RW20C;1ER02674;15;54;NA;NA;NA;16348.008;0.237;0.624;-0.257;0.157
2011;RW20C;RW20C;1ER02684;15;54;NA;NA;NA;12138.584;0.195;0.482;-0.491;0.306
2011;RW20C;RW20C;1ER02681;15;54;NA;NA;NA;11478.474;0.213;0.587;-0.417;0.256
2011;RW20C;RW20C;1ER02676;15;54;NA;NA;NA;13372.21;0.207;0.59;-0.527;0.207
2011;RW20C;RW23C;1ER02678;15;54;NA;NA;NA;12110.685;0.218;0.523;-0.435;0.216
2011;RW20C;RW23C;1ER02680;15;54;NA;NA;NA;9651.378;0.206;0.574;-0.505;0.23
2011;RW20C;RW23C;1ER02685;15;54;NA;NA;NA;10028.582;0.199;0.561;-0.511;0.265
2011;RW20C;RW23C;1ER02677;15;54;NA;NA;NA;13364.366;0.22;0.674;-0.472;0.143
2011;RW20C;RW23C;1ER02682;15;54;NA;NA;NA;16557.35;0.204;0.635;-0.537;0.189
2011;RW20C;RW23C;1ER02683;15;54;NA;NA;NA;10688.147;0.198;0.526;-0.551;0.251
2011;RW23C;RW20C;1ER02665;12;54;NA;NA;NA;11917.269;0.219;0.55;-0.43;0.196
2011;RW23C;RW20C;1ER02668;12;54;NA;NA;NA;18003.417;0.225;0.497;-0.297;0.245
