Mesocosm,swamp,veg
CAT_CH_01,CA,ch
CAT_CH_02,CA,ch
CAT_CH_03,CA,ch
CAT_CH_04,CA,ch
CAT_CH_05,CA,ch
CAT_CH_06,CA,ch
CAT_CH_07,CA,ch
CAT_CH_08,CA,ch
CAT_CH_09,CA,ch
CAT_CH_10,CA,ch
CAT_CH_11,CA,ch
CAT_CH_12,CA,ch
CAT_CH_13,CA,ch
CAT_CH_14,CA,ch
CAT_CH_15,CA,ch
CAT_CH_16,CA,ch
CAT_CH_17,CA,ch
CAT_CH_18,CA,ch
CAT_CH_19,CA,ch
CAT_CH_20,CA,ch
CAT_CH_21,CA,ch
CAT_CH_22,CA,ch
CAT_CH_23,CA,ch
CAT_CH_24,CA,ch
CAT_CH_25,CA,ch
CAT_CH_26,CA,ch
CAT_CH_27,CA,ch
CAT_CH_28,CA,ch
CAT_CH_29,CA,ch
CAT_CH_30,CA,ch
CAT_CH_31,CA,ch
CAT_TT_01,CA,tt
CAT_TT_02,CA,tt
CAT_TT_03,CA,tt
CAT_TT_04,CA,tt
CAT_TT_05,CA,tt
CAT_TT_06,CA,tt
CAT_TT_07,CA,tt
CAT_TT_08,CA,tt
CAT_TT_09,CA,tt
CAT_TT_10,CA,tt
CAT_TT_11,CA,tt
CAT_TT_12,CA,tt
CAT_TT_13,CA,tt
CAT_TT_14,CA,tt
CAT_TT_15,CA,tt
CAT_TT_16,CA,tt
CAT_TT_17,CA,tt
CAT_TT_18,CA,tt
CAT_TT_19,CA,tt
CAT_TT_20,CA,tt
CAT_TT_21,CA,tt
CAT_TT_22,CA,tt
CAT_TT_23,CA,tt
CAT_TT_24,CA,tt
CAT_TT_25,CA,tt
CAT_TT_26,CA,tt
CAT_TT_27,CA,tt
CAT_TT_28,CA,tt
CAT_TT_29,CA,tt
CAT_TT_30,CA,tt
CAT_TT_31,CA,tt
DMP_CH_01,DM,ch
DMP_CH_02,DM,ch
DMP_CH_03,DM,ch
DMP_CH_04,DM,ch
DMP_CH_05,DM,ch
DMP_CH_06,DM,ch
DMP_CH_07,DM,ch
DMP_CH_08,DM,ch
DMP_CH_09,DM,ch
DMP_CH_10,DM,ch
DMP_CH_11,DM,ch
DMP_CH_12,DM,ch
DMP_CH_13,DM,ch
DMP_CH_14,DM,ch
DMP_CH_15,DM,ch
DMP_CH_16,DM,ch
DMP_CH_17,DM,ch
DMP_CH_18,DM,ch
DMP_CH_19,DM,ch
DMP_CH_20,DM,ch
DMP_CH_21,DM,ch
DMP_CH_22,DM,ch
DMP_CH_23,DM,ch
DMP_CH_24,DM,ch
DMP_CH_25,DM,ch
DMP_CH_26,DM,ch
DMP_CH_27,DM,ch
DMP_CH_28,DM,ch
DMP_CH_29,DM,ch
DMP_CH_30,DM,ch
DMP_CH_31,DM,ch
DMP_TT_01,DM,tt
DMP_TT_02,DM,tt
DMP_TT_03,DM,tt
DMP_TT_04,DM,tt
DMP_TT_05,DM,tt
DMP_TT_06,DM,tt
DMP_TT_07,DM,tt
DMP_TT_08,DM,tt
DMP_TT_09,DM,tt
DMP_TT_10,DM,tt
DMP_TT_11,DM,tt
DMP_TT_12,DM,tt
DMP_TT_13,DM,tt
DMP_TT_14,DM,tt
DMP_TT_15,DM,tt
DMP_TT_16,DM,tt
DMP_TT_17,DM,tt
DMP_TT_18,DM,tt
DMP_TT_19,DM,tt
DMP_TT_20,DM,tt
DMP_TT_21,DM,tt
DMP_TT_22,DM,tt
DMP_TT_23,DM,tt
DMP_TT_24,DM,tt
DMP_TT_25,DM,tt
DMP_TT_26,DM,tt
DMP_TT_27,DM,tt
DMP_TT_28,DM,tt
DMP_TT_29,DM,tt
DMP_TT_30,DM,tt
DMP_TT_31,DM,tt
KT_CH_01,KT,ch
KT_CH_02,KT,ch
KT_CH_03,KT,ch
KT_CH_04,KT,ch
KT_CH_05,KT,ch
KT_CH_06,KT,ch
KT_CH_07,KT,ch
KT_CH_08,KT,ch
KT_CH_09,KT,ch
KT_CH_10,KT,ch
KT_CH_11,KT,ch
KT_CH_12,KT,ch
KT_CH_13,KT,ch
KT_CH_14,KT,ch
KT_CH_15,KT,ch
KT_CH_16,KT,ch
KT_CH_17,KT,ch
KT_CH_18,KT,ch
KT_CH_19,KT,ch
KT_CH_20,KT,ch
KT_CH_21,KT,ch
KT_CH_22,KT,ch
KT_CH_23,KT,ch
KT_CH_24,KT,ch
KT_CH_25,KT,ch
KT_CH_26,KT,ch
KT_CH_27,KT,ch
KT_CH_28,KT,ch
KT_CH_29,KT,ch
KT_CH_30,KT,ch
KT_CH_31,KT,ch
KT_TT_01,KT,tt
KT_TT_02,KT,tt
KT_TT_03,KT,tt
KT_TT_04,KT,tt
KT_TT_05,KT,tt
KT_TT_06,KT,tt
KT_TT_07,KT,tt
KT_TT_08,KT,tt
KT_TT_09,KT,tt
KT_TT_10,KT,tt
KT_TT_11,KT,tt
KT_TT_12,KT,tt
KT_TT_13,KT,tt
KT_TT_14,KT,tt
KT_TT_15,KT,tt
KT_TT_16,KT,tt
KT_TT_17,KT,tt
KT_TT_18,KT,tt
KT_TT_19,KT,tt
KT_TT_20,KT,tt
KT_TT_21,KT,tt
KT_TT_22,KT,tt
KT_TT_23,KT,tt
KT_TT_24,KT,tt
KT_TT_25,KT,tt
KT_TT_26,KT,tt
KT_TT_27,KT,tt
KT_TT_28,KT,tt
KT_TT_29,KT,tt
KT_TT_30,KT,tt
KT_TT_31,KT,tt
MH_CH_01,MH,ch
MH_CH_02,MH,ch
MH_CH_03,MH,ch
MH_CH_04,MH,ch
MH_CH_05,MH,ch
MH_CH_06,MH,ch
MH_CH_07,MH,ch
MH_CH_08,MH,ch
MH_CH_09,MH,ch
MH_CH_10,MH,ch
MH_CH_11,MH,ch
MH_CH_12,MH,ch
MH_CH_13,MH,ch
MH_CH_14,MH,ch
MH_CH_15,MH,ch
MH_CH_16,MH,ch
MH_CH_17,MH,ch
MH_CH_18,MH,ch
MH_CH_19,MH,ch
MH_CH_20,MH,ch
MH_CH_21,MH,ch
MH_CH_22,MH,ch
MH_CH_23,MH,ch
MH_CH_24,MH,ch
MH_CH_25,MH,ch
MH_CH_26,MH,ch
MH_CH_27,MH,ch
MH_CH_28,MH,ch
MH_CH_29,MH,ch
MH_CH_30,MH,ch
MH_CH_31,MH,ch
MH_TT_01,MH,tt
MH_TT_02,MH,tt
MH_TT_03,MH,tt
MH_TT_04,MH,tt
MH_TT_05,MH,tt
MH_TT_06,MH,tt
MH_TT_07,MH,tt
MH_TT_08,MH,tt
MH_TT_09,MH,tt
MH_TT_10,MH,tt
MH_TT_11,MH,tt
MH_TT_12,MH,tt
MH_TT_13,MH,tt
MH_TT_14,MH,tt
MH_TT_15,MH,tt
MH_TT_16,MH,tt
MH_TT_17,MH,tt
MH_TT_18,MH,tt
MH_TT_19,MH,tt
