Mesocosm,time_pt,richness,swamp,water_treatment,fire_treatment,veg,days
CAT_CH_01,1,4,CA,H,ub,ch,59
CAT_CH_01,2,5,CA,H,ub,ch,161
CAT_CH_01,3,5,CA,H,ub,ch,248
CAT_CH_01,4,5,CA,H,ub,ch,334
CAT_CH_01,5,5,CA,H,ub,ch,444
CAT_CH_01,6,5,CA,H,ub,ch,587
CAT_CH_01,7,5,CA,H,b,ch,797
CAT_CH_01,8,4,CA,H,b,ch,987
CAT_CH_01,9,4,CA,H,b,ch,1261
CAT_CH_02,1,7,CA,L,ub,ch,59
CAT_CH_02,2,7,CA,L,ub,ch,161
CAT_CH_02,3,5,CA,L,ub,ch,248
CAT_CH_02,4,5,CA,L,ub,ch,334
CAT_CH_02,5,4,CA,L,ub,ch,444
CAT_CH_02,6,4,CA,L,ub,ch,587
CAT_CH_02,7,3,CA,L,b,ch,797
CAT_CH_02,8,3,CA,L,b,ch,987
CAT_CH_02,9,3,CA,L,b,ch,1261
CAT_CH_03,1,6,CA,L,ub,ch,59
CAT_CH_03,2,7,CA,L,ub,ch,161
CAT_CH_03,3,6,CA,L,ub,ch,248
CAT_CH_03,4,6,CA,L,ub,ch,334
CAT_CH_03,5,6,CA,L,ub,ch,444
CAT_CH_03,6,8,CA,L,ub,ch,587
CAT_CH_03,7,3,CA,L,b,ch,797
CAT_CH_03,8,3,CA,L,b,ch,987
CAT_CH_03,9,3,CA,L,b,ch,1261
CAT_CH_04,1,6,CA,M,ub,ch,59
CAT_CH_04,2,6,CA,M,ub,ch,161
CAT_CH_04,3,6,CA,M,ub,ch,248
CAT_CH_04,4,6,CA,M,ub,ch,334
CAT_CH_04,5,6,CA,M,ub,ch,444
CAT_CH_04,6,6,CA,M,ub,ch,587
CAT_CH_04,7,6,CA,M,ub,ch,797
CAT_CH_04,8,5,CA,M,ub,ch,987
CAT_CH_04,9,6,CA,M,ub,ch,1261
CAT_CH_05,1,9,CA,L,ub,ch,59
CAT_CH_05,2,11,CA,L,ub,ch,161
